Orig_singkat,New_Singkat,singkat_prior_2016,Order_latin,Family,Latin_name,Spp_common_name,Indonesia_name,Mark_comment_3_06,class,notes
NULL,MD,NULL,CARNI,FELID,Neofelis nebulosa,Sunda Clouded Leopard,Macan Dahan,NULL,Mammal,Added 2016
NULL,HD,,CARNI,FELID,Pardofelis marmorata,Marble Cat,Harimau/Kucing Dahan,,Mammal,Added 2016 (Cam Trap)
NULL,KBL,KH,CARNI,FELID,Prionailurus bengalensis,Leopard cat,Kucing Loreng,,Mammal,NULL
NULL,MN,NULL,CARNI,HERPE,Herpestes sp.,Mongoose,,,Mammal,NULL
gn,GN,NULL,PRIMA,HYLOB,Hylobates albibarbis,Bornean white-bearded gibbon,Kelompiao,gibbon,Mammal,NULL
la,LA,NULL,RODEN,HYSRT,Hystrix brachyura,Common Procupine (Landak),Landak,,Mammal,NULL
NULL,LI,NULL,RODEN,HYSTR,Trichys fasciculata,Long-Tailed Porcupine,Landak ekor panjang,NULL,Mammal,Added 2016
NULL,TL,NULL,PHOLI,MANID,Manis javanica,Pangolin,Tingaling,NULL,Mammal,Added 2016
NULL,TKM,,RODEN,MURID,Unid Night Rat,Unid Night Rat (camera trap),Tikus Malam tidak tahu (Kamera trap),,Mammal,Added 2016 (Cam trap)
NULL,OT,NULL,CARNI,MUSTE,Aonyx cinerea,Oriental small-clawed otter,Berang-berang,NULL,Mammal,NULL
NULL,MW,NULL,CARNI,MUSTE,Mustela nudipes,Malay weasel,,Body bright orange,Mammal,Added 2016 (Camera trap)
NULL,HA,NULL,NULL,NULL,Homo sapiens,Hunters,Pemburu,NULL,Mammal,Added 2016
NULL,OA,NULL,NULL,NULL,Homo sapiens,Unid Person,Orang asing,NULL,Mammal,Added 2016
NULL,OCP,NULL,NULL,NULL,Homo sapiens,Person from Camp,Orang Cabang Panti,NULL,Mammal,Added 2016
NULL,SC,NULL,NULL,NULL,Homo sapiens,Person servicing camera,Orang kerja kamera trap,NULL,Mammal,Added 2016
NULL,KB,NULL,RODEN,NULL,Unid flying squirrel,Flying squirrel,Kubong,NULL,Mammal,NULL
NULL,KW,NULL,NULL,NULL,Unid bat,Small bats,Kelelawar kecil,NULL,Mammal,NULL
NULL,TK,NULL,NULL,NULL,Unid rodent,Mouse or Rat sp.,Tikus tak tahu nama,NULL,Mammal,Added 2016
NULL,TX,NULL,NULL,NULL,,Confuse between Squirrel or Treeshrew,Tidak tahu bajing atau tupai,NULL,Mammal,Added 2017 (Camera Trap)
oh,OH,NULL,PRIMA,PONGI,Pongo pygmaeus,Orangutan,Orangutan,big fat fuck,Mammal,NULL
NULL,LS,NULL,CARNI,PRION,Prionodon linsang,Banded Linsang,Linsang,NULL,Mammal,Added 2016
df,DF,NULL,CHIRO,PTERO,Pteropus spp.,Dogfaced bat,Kelelawar besar,dogfaced bat,Mammal,NULL
cn,CN,NULL,RODEN,SCIUR,Callosciurus nonatus,Plantain Squirrel,Bajing,Callosciurus nonatus,Mammal,NULL
cp,CP,NULL,RODEN,SCIUR,Callosciurus prevostii,Prevost's Squirrel,Bajing belang,"   "" prevostii",Mammal,NULL
NULL,DE,NULL,RODEN,SCIUR,Dremomys everetti,Bornean mountain ground squirrel,"Bajing gunung, sedang, coklat polos, biasa di PK",NULL,Mammal,NULL
NULL,SQG,NULL,RODEN,SCIUR,Lariscus hosei,Four-striped Ground Squirrel,Bajing garis empat,NULL,Mammal,Added 2016
NULL,SQT,NULL,RODEN,SCIUR,Lariscus insignis,Three-striped Ground Squirrel,Bajing garis tiga,NULL,Mammal,Added 2016
ra,RA,NULL,RODEN,SCIUR,Ratufa affinis,Giant Squirrel,Bajing besar ekor panjang,ratufa,Mammal,NULL
tg,TG,NULL,RODEN,SCIUR,Rheithrosciurus macrotis,Tufted Ground Squirrel,Bajing ekor panjang telingga panjang,tufted eared ground squirrel,Mammal,NULL
NULL,BT,,RODEN,SCIUR,Rhinosciurus laticaudatus,Shrew-faced ground squirrel,Bajing tanah muka tupai,"short, bushy and stripe tail, long nose, no side stripe,",Mammal,Added 2016
"ht, sh",HT,NULL,RODEN,SCIUR,Sundasciurus hippurus,Horsetailed Squirrel,Bajing ekor kuda,horsetailed squirrel,Mammal,NULL
