locationID,latitude,longitude,habitat_7,on.off.trail,samplingperiod,hab.code,z_rain,z_max,z_min,z_pheno,z_elev,z_elev_sq
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,1,AB,-0.7640490173276426,-0.3917373751900446,0.023516836531535985,-0.34740584462286866,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,2,AB,-0.5899600548759295,-0.19617425497036528,-0.2455902583887219,0.00994017821537137,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,3,AB,-0.7262261177473598,-0.19617425497036528,0.023516836531535985,0.2338830342297468,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,4,AB,-0.5899600548759295,-0.3917373751900446,0.023516836531535985,-0.16693977419714076,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,5,AB,0.9957520569796298,-0.3917373751900446,0.15807038399166493,0.20719913557985115,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,6,AB,0.3991346752440713,0.9772044663477107,-0.11103671092859296,1.0185785670934913,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,7,AB,0.3084633406338041,-6.111347506859421e-4,0.023516836531535985,1.2467790322067027,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,8,AB,0.45845963417478913,-6.111347506859421e-4,0.15807038399166493,1.4072149540906222,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,9,AB,0.3208982665232122,-0.3917373751900446,0.15807038399166493,0.9620871084364019,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,10,AB,-0.17222426327862694,-6.111347506859421e-4,-0.11103671092859296,0.22032439108963064,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,11,AB,0.4604025913450091,-0.3917373751900446,0.2926239314517939,-0.14416903828072442,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,12,AB,0.4221911003306821,-0.19617425497036528,0.15807038399166493,-0.3260271174221018,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,13,AB,-0.5095216280288211,-0.19617425497036528,0.023516836531535985,-0.4032934000040123,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,14,AB,-0.23439889272566733,-0.587300495409724,0.15807038399166493,-0.49928756313463324,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,15,AB,-0.004611824727647262,0.7816413461280314,-0.05721529194454157,-0.3449896442002651,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,16,AB,0.09046354613511863,0.7816413461280314,0.2926239314517939,-0.516726225471241,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,17,AB,0.1832073683936206,-6.111347506859421e-4,0.2926239314517939,-0.15383082328130473,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,18,AB,0.47931404113515047,-0.19617425497036528,0.023516836531535985,0.3972902748491396,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,19,AB,-0.40913550756745376,0.3905151056886727,0.2926239314517939,0.060118350275457706,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,20,AB,-0.22157537540221528,-0.19617425497036528,0.15807038399166493,0.13454502630638288,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,21,AB,0.04694130552219048,-0.3917373751900446,0.15807038399166493,-0.253224559255939,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,22,AB,-0.21017669333692446,0.3905151056886727,0.023516836531535985,-0.41745555921127914,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,23,AB,-0.07883278863005166,1.5638938270067488,0.15807038399166493,-0.473298137080979,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,24,AB,0.8375953433237205,0.1949519854689934,0.15807038399166493,-0.0460704327316099,-0.3059137270364965,-0.2584876076880451
