placementID,locationID,location,latitude,longitude,habitat,altitude,650ha_gridID
256,216,CH 14.05,-1.22922,110.10459,Kerangas,36,1
257,217,CH 11.05,-1.22796,110.10457,Kerangas,28,1
258,218,SP 24,-1.22446,110.10305,Alluvial Bench,18,1
259,219,TK 22.25,-1.21211,110.12435,Upland Granite,461,4
260,220,GP 86.08,-1.20972,110.13365,Montane,892,4
261,221,FS 20,-1.21528,110.13099,Upland Granite,713,4
262,222,GP 24.31,-1.218151,110.114208,Lowland Granite,186,4
263,223,UB 13.40,-1.22255,110.11338,Lowland Granite,185,2
264,224,SI 21.08,-1.23021,110.1106,Lowland Sandstone,126,2
265,225,TL 26.10,-1.20605,110.11582,Lowland Granite,154,4
266,226,IF 32.03,-1.21004,110.09153,Peat Swamp,27,3
267,227,GP 12.24,-1.2198,110.10908,Lowland Sandstone,68,2
269,229,UB 72.05,-1.22965,110.13408,Upland Granite,851,2
271,231,BS 8.44,-1.23191,110.10147,Freshwater Swamp,44,1
272,232,RB 4.40,-1.21353,110.10411,Alluvial Bench,28,3
273,233,AT 16.15,-1.2273,110.10926,Lowland Sandstone,68,2
274,234,TZ 3.35,-1.20626,110.09629,Peat Swamp,6,3
275,235,HB 5.05,-1.23191,110.11232,Lowland Granite,283,2
276,236,RS 5.10,-1.21605,110.0973,Freshwater Swamp,15,3
277,237,UB 50.03,-1.22854,110.12444,Upland Granite,578,2
280,243,AY 3,-1.216796,110.112441,Lowland Sandstone,160,4
284,247,SP 24 W 44,-1.22447,110.102659,Alluvial Bench,18,1
283,248,AT 16.15 W 46,-1.22709,110.108903,Lowland Sandstone,59,2
282,249,UB 0.43 E 44,-1.220021,110.109601,Lowland Sandstone,82,2
289,250,BM 0.30 W 20,-1.213016,110.106294,Freshwater Swamp,30,3
290,251,DT 5.05,-1.226361,110.105594,Alluvial Bench,48,1
295,252,GP 86.08 S 56,-1.210249,110.133626,Montane,882,4
294,253,BS 8.45 S 55,-1.232417,110.10147,Freshwater Swamp,46,1
293,254,UB 14 E 60,-1.222567,110.113954,Lowland Granite,193,2
288,255,IF 32.24 S 42,-1.210419,110.091318,Peat Swamp,27,3
292,263,GP 24 S 48,-1.218751,110.113947,Lowland Granite,165,4
291,264,TR 9 N 52,-1.217715,110.099927,Freshwater Swamp,29,3
296,268,UB 50.03 S 52,-1.229008,110.124474,Upland Granite,554,2
298,270,BM 10.40 E 40,-1.209358,110.108778,Alluvial Bench,39,4
299,271,CH 11.10 E 52,-1.227944,110.105025,Kerangas,47,1
300,272,BR 12 N 50,-1.236125,110.098313,Freshwater Swamp,30,1
304,274,TK 22 S 52,-1.212569,110.124359,Upland Granite,441,4
322,288,TL 35.4 W 54,-1.20806,110.117583,Lowland Granite,264,4
326,290,JJ 2.30 W 50,-1.230457,110.138007,Montane,925,2
329,291,SK 10.35 W 51,-1.222175,110.104026,Alluvial Bench,55,1
333,293,RS 30.40 E 25,-1.226754,110.09842,Freshwater Swamp,42,1
334,294,MB 1.45,-1.223049,110.105041,Alluvial Bench,43,1
335,295,GP 79.33 E 50,-1.210099,110.131501,Upland Granite,796,4
336,296,RB 9 N 62,-1.213252,110.102158,Freshwater Swamp,42,3
337,297,DG 2.30,-1.212382,110.100626,Freshwater Swamp,45,3
338,298,BK 12.45 N 58,-1.228543,110.10372,Kerangas,45,1
340,300,SI 15.10 W 51,-1.22779,110.111192,Lowland Sandstone,110,2
341,301,SK 5 E 60,-1.220292,110.104103,Alluvial Bench,46,1
342,302,RS 38.38 W 50,-1.229369,110.096796,Freshwater Swamp,62,1
344,304,GP 56.25 N 42,-1.210455,110.121751,Upland Granite,385,4
349,305,UB 63.18 S 40,-1.229488,110.13027,Upland Granite,701,2
350,306,SK 2.13 W 137,-1.219266,110.101839,Alluvial Bench,52,1
355,309,UB 75.35 W 60,-1.229965,110.135136,Montane,859,2
361,312,HB 5.05 W 50,-1.231888,110.111868,Lowland Granite,254,2
364,313,BK 10.30 NE 50,-1.228713,110.104936,Kerangas,50,1
371,314,DA 12.40 E 46,-1.228513,110.108879,Lowland Sandstone,80,2
372,315,RB 4.40 S 50,-1.213986,110.104114,Alluvial Bench,40,3
376,317,HB 2.25 E 46,-1.233066,110.11159,Lowland Granite,281,2
379,318,TZ 12.30 N 50,-1.205456,110.092024,Peat Swamp,28,3
382,319,RB 0 N 55,-1.213043,110.106003,Freshwater Swamp,38,3
384,321,AY 3 N 45,-1.216385,110.112413,Lowland Sandstone,156,4
395,323,DL 0.45 E 57,-1.230513,110.107323,Lowland Sandstone,61,1
402,324,AT 7.21 E 45,-1.223572,110.110731,Lowland Sandstone,106,2
407,325,BK 4.35 N 45,-1.22909,110.10727,Lowland Sandstone,69,1
409,326,TL 26 S 40,-1.20641,110.11581,Lowland Granite,154,4
416,327,SP 34.40 W 40,-1.2295,110.10284,Kerangas,40,1
417,328,BD 7.45 W 50,-1.20976,110.09406,Peat Swamp,43,3
418,329,GP 30.24 W 40,-1.2161,110.11407,Lowland Granite,231,4
428,331,SP 31.22 W 46,-1.22781,110.10278,Kerangas,55,1
435,332,ST 35 W 25,-1.22945,110.09951,Freshwater Swamp,22,1
437,333,PP 3.35 S 50,-1.21191,110.13107,Upland Granite,751,4
441,334,IF 46.05 W 50,-1.21023,110.08489,Peat Swamp,40,3
444,335,ST 5 E 50,-1.21596,110.10176,Freshwater Swamp,44,3
450,337,SP 24 W 55,-1.22447,110.10254,Alluvial Bench,18,1
462,338,BC 12.40 N 55,-1.21801,110.1099,Lowland Sandstone,95,4
465,339,SZ 15.25 W 55,-1.22081,110.09866,Freshwater Swamp,45,1
471,340,DP 8 S 52,-1.23353,110.10896,Lowland Sandstone,190,2
474,341,HB 15.35 e 45,-1.22919,110.11588,Lowland Granite,380,2
479,342,FS 11.44 s 50,-1.2153447,110.1277471,Upland Granite,500,4
488,343,RS 5 w 55,-1.21612,110.09686,Freshwater Swamp,14,3
541,347,PB 5.00,-1.21276,110.10895,Lowland Sandstone,54,4
552,349,AP 0,-1.21341,110.10637,Freshwater Swamp,58,3
563,351,GP 60.34 N 50,-1.209973,110.12349,Upland Granite,430,4
564,352,BC 8.30 S 48,-1.21861,110.10804,Lowland Sandstone,65,3
