cid,id,obs_time,trail,trailmark,compass,distance,animal,n_indiv,observed,activity,continued,comment,geom
1,2,05:34:00,BM,1.05,e,0,"MB ",1,1,TV,0,NULL,NULL
1,6,06:58:00,DS,9.00,n,10,PKX,2,1,F,0,NULL,NULL
1,7,07:28:00,DS,3.35,n,9,GN,1,1,F,0,"Ketamu GN jantan.  Only saw for couple minutes then the GN ran to north quickly",NULL
1,11,08:45:00,GB,0.00,e,15,BL,5,1,T,0,"Flew to east",NULL
1,14,10:12:00,ST,3.15,e,8,RA,1,1,F,0,NULL,NULL
2,19,05:32:00,MB,0.45,se,7,BP,1,1,T,0,NULL,NULL
2,30,06:38:00,MT,2.05,n,15,AHX,2,1,T,0,NULL,NULL
2,48,10:12:00,BK,2.00,w,40,GN,1,1,I,0,"Small male.  Left to south.",NULL
3,57,05:45:00,BC,3.12,s,10,KL,4,1,F,0,"Couldn't get sex/sizes because hidden",NULL
3,76,08:02:00,AY,2.20,w,1,KL,4,1,F,0,"Only saw 1 male for sure, other three unkown sex.  Ran to east before got good look.",NULL
3,89,10:05:00,PB,6.40,n,30,GN,1,1,TV,0,NULL,NULL
3,93,10:40:00,CK,0.00,n,NULL,SQX,1,1,TV,0,"Jumping from tree to tree.  Small squirrel, short tail, light yellow color.",NULL
4,108,06:37:00,RB,22.15,s,20,GN,1,1,T,0,"Male. Moving fast.",NULL
4,110,06:51:00,RB,25.14,s,25,GN,3,1,T,0,"1 small fem, 1 big male, 1 small sex unk.  Moving fast, could not get good descriptions.",NULL
4,116,08:16:00,BD,11.20,w,15,BL,2,1,I,0,NULL,NULL
4,121,09:17:00,KP,17.22,w,5,BP,1,1,T,0,NULL,NULL
4,124,10:33:00,KP,32.05,e,NULL,CP,1,1,IV,0,"Resting and calling squirrel",NULL
4,126,11:00:00,KP,37.00,s,30,KL,3,1,T,0,"1 big male, 1 big female, 1 big unk sex.  Tried to follow, but they continued away from the trail and couldn't keep up.",NULL
5,130,05:52:00,NB,9.00,s,15,BL,3,1,T,0,"Flying west",NULL
5,133,07:10:00,UB,51.00,n,15,"MB ",1,1,T,0,"Flying north",NULL
5,138,08:36:00,UB,66.10,s,20,GN,2,1,T,0,"1 went south, 1 went east very fast.",NULL
5,139,08:36:00,UB,66.10,s,2,KL,2,1,T,0,"Went south. Were in same tree as GN above.",NULL
5,144,11:24:00,UB,80.00,n,15,GN,1,1,T,0,"Went north fast.",NULL
6,151,06:24:00,UB,9.01,s,2,SQX,1,1,T,0,"Small squirrel, short tail, light brown color.",NULL
6,157,07:29:00,UB,15.30,n,2,GN,4,1,T,0,"2 males, 1 fem, 1 adolescent sex unk.  Adolescent traveling alone. Travelled to north.",NULL
6,159,09:04:00,UB,20.40,s,7,KL,1,1,I,0,"In same tree as GN below. Followed until 9:40.",NULL
6,160,09:04:00,UB,20.40,s,7,GN,1,1,I,0,"In same tree as KL above.  Travelled north.",NULL
6,174,12:40:00,SI,12.35,w,20,KL,1,1,I,0,NULL,NULL
7,181,05:38:00,SK,2.40,n,1,FK,11,1,F,0,"Couldn't could m/f because they never stopped moving.",NULL
7,182,06:03:00,SK,6.00,e,7,GN,4,1,T,0,"Traveled west.",NULL
7,188,06:38:00,MB,12.14,s,5,GN,4,1,TV,0,"3 big unk, 1 infant unk (carried)",NULL
7,189,06:40:00,MB,12.14,s,20,FK,6,1,F,0,"4 male, 2 female.  In same tree as GN.",NULL
7,197,08:25:00,TR,7.40,s,NULL,BW,1,1,T,0,"JH-not sure this is the same singkat.  AJM ""BW"" may be different then ""new BW""",NULL
7,203,09:38:00,RS,24.45,w,3,PKX,1,1,T,0,NULL,NULL
7,206,10:40:00,RS,41.35,e,2,OH,3,1,F,0,"2 female, 1 male.  On ground eating termintes, but climbed trees and were mad when arrived.  Left area to west.",NULL
7,208,10:50:00,RS,42.25,w,10,KL,3,1,FV,0,"Kelasi ran away as soon as seen, but found leftover ficus on ground.",NULL
9,215,06:01:00,JB,5.15,e,5,"MB ",2,1,TV,0,NULL,NULL
9,217,06:39:00,JB,14.14,e,0,ULX,1,1,T,0,"Snake entered hole in ground",NULL
9,219,06:51:00,JB,15.20,w,15,BP,1,1,T,0,NULL,NULL
9,226,08:25:00,TL,25.25,n,10,ML,1,1,I,0,"bird with green feathers on back, pink head, red chest....pretty sure this is bee-eater (JH)",NULL
9,227,08:40:00,TL,28.10,n,7,KL,4,1,T,0,"1 male, 3 big males? Not certain of ids or total count.  Moving fast to south.",NULL
9,228,09:29:00,TL,36.00,e,5,BU,2,1,I,0,NULL,NULL
9,231,11:00:00,GP,23.00,n,20,GN,4,1,T,0,"4 big males?? Tried to examine, but they moved very fast.  Not even certain of full count.",NULL
10,236,05:40:00,KP,36.25,w,20,BP,2,1,T,0,NULL,NULL
10,245,07:16:00,KP,26.16,e,25,KL,4,1,T,0,"Scared, traveled away fast",NULL
10,246,07:26:00,KP,26.06,e,200,GN,2,1,T,0,"Adult carrying infant. Not sure of total group size.",NULL
10,254,10:32:00,KP,4.06,w,2,RA,2,1,F,0,NULL,NULL
10,255,10:40:00,KP,4.06,e,30,GN,2,1,T,0,"Traveling to east.  did not get actual count but comment says mereka, so at least 2 (JH) ",NULL
13,285,05:55:00,BF,5.01,s,0,RA,1,1,T,0,"Traveling south",NULL
14,300,06:17:00,KP,26.06,w,6,SQX,1,1,T,0,"Ran away",NULL
14,303,06:37:00,KP,21.00,e,20,BC,5,1,TV,0,"Flying and calling",NULL
14,304,06:46:00,KP,18.00,e,15,SQX,1,1,T,0,NULL,NULL
14,306,07:12:00,TZ,6.10,e,8,KAX,1,1,T,0,"Ran to east",NULL
14,309,07:50:00,BD,7.30,w,1,BP,1,1,T,0,"Ran away",NULL
14,311,09:12:00,RB,20.00,e,10,KL,7,1,TV,0,"Maybe more than 7.  Moving fast to east.",NULL
15,316,05:44:00,SK,2.45,e,20,FK,NULL,1,F,0,"1 group (n indiv not given)",NULL
15,319,06:24:00,SK,6.20,w,17,GN,3,1,F,0,"1 big male, 1 big fem, 1 adolescent unk sex.",NULL
15,320,06:31:00,SK,6.20,w,17,TG,1,1,F,0,"Same tree as GN",NULL
16,332,07:42:00,UB,19.45,w,10,"MB ",1,1,I,0,NULL,NULL
16,333,07:45:00,UB,19.45,e,10,"MB ",1,1,I,0,"Second bird arrived",NULL
16,334,07:49:00,UB,19.45,e,7,PKX,1,1,I,0,NULL,NULL
16,340,10:50:00,SI,24.45,e,1,KW,50,1,I,0,"Lots of small bats",NULL
16,341,10:58:00,SI,22.12,w,20,BL,2,1,I,0,NULL,NULL
16,342,11:06:00,SI,19.30,e,20,KL,5,1,T,0,"3 big unk sex, 2 small unk sex.  Could not get good count, they ran then hid.",NULL
16,343,11:18:00,SI,18.20,w,5,LBJ,15,1,T,0,"Big group (+-15) of birds calling and flying about.",NULL
16,344,11:27:00,SI,16.00,w,30,GN,2,1,I,0,"1 male, 1 female. Ran away.",NULL
17,348,06:23:00,TK,17.10,n,5,PKX,1,1,T,0,NULL,NULL
18,358,05:40:00,BC,2.10,e,20,BP,2,1,T,0,"Ran away",NULL
18,368,06:51:00,QX,3.00,nw,20,KL,5,1,TV,0,"Travelled NW before could examine.",NULL
19,386,05:50:00,BM,7.00,e,20,CP,1,1,T,0,NULL,NULL
19,388,06:32:00,DS,7.20,s,20,BC,5,1,IV,0,NULL,NULL
19,390,07:42:00,GP,10.00,e,15,BP,2,1,T,0,"Ran north",NULL
20,399,05:51:00,JB,5.03,w,5,SQX,1,1,T,0,"Trav. west",NULL
20,400,06:00:00,JB,6.15,w,1,FK,1,1,T,0,NULL,NULL
20,403,07:25:00,TL,19.00,n,13,PKX,2,1,F,0,NULL,NULL
20,404,07:30:00,TL,19.19,n,5,SQX,1,1,T,0,"crossing trail s to n.",NULL
20,406,08:23:00,TL,27.00,n,3,KL,3,1,TV,0,"2 big sex unk, 1 small (young).  Maybe more, but did not see them.",NULL
20,407,08:47:00,TL,30.05,n,1,SQX,1,1,T,0,NULL,NULL
20,412,10:39:00,GP,31.25,w,10,BD,2,1,T,0,"Ran away",NULL
20,413,10:55:00,GP,25.30,sw,15,KL,3,1,TV,0,"Full count.  did not get sex/size.",NULL
21,418,06:01:00,MB,5.00,e,5,BP,1,1,I,0,"Ran away.",NULL
21,420,06:12:00,RR,5.06,e,2,OH,1,1,F,0,Roman?,NULL
21,424,06:49:00,AP,16.00,e,10,BP,1,1,T,0,NULL,NULL
21,426,07:06:00,MT,4.05,n,5,GN,4,1,TV,0,"2 males, 2 unk. Followed, but went up big tree and hid.",NULL
21,432,08:50:00,AT,5.00,w,20,GN,2,1,T,0,"Weather clearing",NULL
21,433,08:58:00,AT,6.30,w,5,RA,2,1,T,0,"Two traveling together",NULL
21,434,09:05:00,AT,9.00,w,7,"MB ",1,1,IV,0,NULL,NULL
22,444,06:53:00,GP,61.20,n,35,RA,1,1,T,0,"Travel west.",NULL
22,445,07:06:00,GP,61.20,e,15,ML,1,1,F,0,NULL,NULL
22,446,07:19:00,GP,61.20,s,20,PKX,2,1,I,0,NULL,NULL
22,452,10:26:00,FS,8.30,n,25,GN,3,1,T,0,"1 medium sex unk, 2 big sex unk.  2 went north, 1 went south.",NULL
24,480,07:49:00,UB,53.40,w,30,KL,2,1,I,0,"1 big male, 1 big female.  Ran to sw.",NULL
24,482,08:21:00,LM,10.25,n,25,KL,6,1,T,0,"Only got full count, animals ran away very fast.",NULL
24,485,09:48:00,UB,63.00,e,10,BD,2,1,T,0,"Was sitting quietly and the bd walked by, then got scared and ran away",NULL
24,486,10:22:00,UB,68.00,w,18,PKX,2,1,I,0,NULL,NULL
25,497,06:00:00,KP,9.40,w,15,PKX,2,1,TV,0,NULL,NULL
25,499,06:22:00,KP,4.20,w,15,BP,1,1,T,0,NULL,NULL
25,507,08:52:00,BD,13.45,w,5,LBJ,2,1,T,0,"Unk birds.",NULL
25,509,09:32:00,TZ,3.10,s,20,OH,1,1,I,0,"Large male nongkrong di dahan",NULL
26,516,05:46:00,RS,40.30,e,7,KL,7,1,F,0,"3 big males, 2 medium males, 1 big fem carrying 1 infant",NULL
26,517,06:20:00,RS,40.33,e,5,BP,1,1,T,0,NULL,NULL
26,518,06:21:00,RS,40.30,e,7,RA,1,1,F,0,"Eating in same tree as KL above",NULL
26,528,09:12:00,SZ,9.40,n,10,FK,2,1,T,0,NULL,NULL
27,539,05:56:00,FK,2.00,s,15,FK,8,1,T,0,"Did not get sex/size.  Travelled across river.",NULL
27,545,06:19:00,RB,4.05,n,40,KL,4,1,T,0,"2 big male, 2 medium fem.",NULL
27,547,07:01:00,PR,2.30,n,10,CP,1,1,T,0,NULL,NULL
27,554,08:45:00,PB,4.00,s,20,BP,1,1,F,0,"Big male",NULL
27,556,09:10:00,JB,4.40,w,20,KL,7,1,T,0,"No sex/size recorded",NULL
27,562,10:47:00,BC,8.10,w,1,OH,1,1,F,0,"large male",NULL
28,570,07:29:00,SI,25.02,e,2,KW,50,1,I,0,"Lots of bats under rock",NULL
28,574,09:26:00,HB,11.40,e,10,BP,1,1,T,0,NULL,NULL
29,582,05:34:00,RB,16.15,s,35,GN,4,1,F,0,"1 male, 1 fem, 2 unk",NULL
29,583,05:34:00,RB,16.15,s,35,LBJ,NULL,1,F,0,"Several small birds eating in ficus, not identified.",NULL
29,586,06:02:00,KP,37.11,e,8,BP,1,1,T,0,NULL,NULL
29,589,07:05:00,KP,27.00,e,0,KAX,1,1,T,0,"crossed trail to west",NULL
29,594,08:40:00,TZ,7.00,w,15,BC,3,1,TV,0,"Crossed trail and sat in tree calling. Then west west again.",NULL
29,596,09:30:00,BD,7.25,w,15,OH,1,1,T,0,"Young male. Travelling west.",NULL
30,608,07:30:00,MR,4.40,w,50,GN,3,1,TV,0,"1 large male, 1 large fem, 1 anak sex unk",NULL
30,609,07:36:00,MR,4.20,e,1,HT,1,1,T,0,"Crossed trail quickly",NULL
31,626,09:21:00,AT,3.08,w,15,KL,4,1,F,0,"1 large male, 1 large fem, 1 medium male, 1 medium fem",NULL
31,631,11:09:00,MT,8.15,n,5,BP,1,1,F,0,NULL,NULL
32,637,05:41:00,TK,17.00,s,30,KL,4,1,T,0,"1 big male, 1 big fem, 1 big fem carrying 1 infant ",NULL
32,640,06:58:00,FS,7.10,e,5,GN,2,1,TV,0,"1 male, 1 fem. Travelled fast to N",NULL
32,644,10:16:00,GP,62.30,s,12,GN,3,1,T,0,"Unk sex.  Travelled fast to S",NULL
33,649,06:02:00,NB,10.20,n,6,"MB ",2,1,TV,0,NULL,NULL
33,650,06:38:00,NB,19.00,sw,30,OH,1,1,T,0,"Young male.",NULL
33,654,09:51:00,UB,60.35,n,3,PPX,1,1,T,0,NULL,NULL
34,662,05:54:00,GP,25.35,s,0,PM,1,1,F,0,NULL,NULL
34,664,06:20:00,GP,29.40,n,5,JB,4,1,IV,0,"Small babblers, by description",NULL
34,666,06:56:00,GP,35.15,s,5,EL,1,1,I,0,"On branch, then flew away.",NULL
34,670,07:35:00,GP,42.38,e,50,GN,3,1,TV,0,"Traveling south, could not identify",NULL
34,674,08:35:00,TL,35.10,w,3,JB,4,1,T,0,NULL,NULL
34,676,08:49:00,TL,32.30,w,8,LBJ,2,1,IV,0,"burung cabir kapan",NULL
34,680,10:10:00,TL,17.27,w,0,GN,4,1,T,0,"Travelling west, could not get ident.",NULL
35,685,05:58:00,PK,10.00,w,2,SQX,1,1,TV,0,"Bornean mountain squirrel",NULL
35,686,06:07:00,PK,11.08,w,2,SQX,1,1,T,0,"Bornean mountain squirrel, diff indiv than at 5:58",NULL
35,688,06:12:00,PK,11.00,w,5,JB,2,1,TV,0,NULL,NULL
35,689,06:14:00,PK,11.00,e,18,JB,4,1,FT,0,"Different than seen at 6:12",NULL
35,692,07:00:00,AB,5.00,w,8,JB,1,1,TV,0,NULL,NULL
35,693,07:22:00,AB,2.15,w,25,BB,1,1,T,0,"Brown babbler",NULL
35,694,07:23:00,AB,2.15,w,10,JB,6,1,FT,0,"Small flock of babblers",NULL
35,702,10:15:00,GP,120.10,s,15,WK,3,1,T,0,NULL,NULL
35,704,10:26:00,GP,119.00,s,25,KL,1,1,TV,0,"Large male.  Tried to follow, but took off downhill fast.",NULL
36,710,05:41:00,BF,2.30,s,6,JB,1,1,T,0,NULL,NULL
36,711,05:48:00,BF,3.36,n,10,"MB ",1,1,T,0,NULL,NULL
36,721,10:40:00,AS,17.15,s,1,CB,2,1,T,0,"Small brown birds, black head",NULL
37,726,05:35:00,PK,4.05,w,10,CP,1,1,T,0,NULL,NULL
37,731,06:21:00,GP,107.00,ne,40,KL,4,1,TV,0,"Only got count, could not follow.",NULL
38,749,05:45:00,KP,14.30,n,5,HT,1,1,T,0,NULL,NULL
38,750,05:53:00,KP,13.15,w,2,HT,1,1,T,0,NULL,NULL
38,751,05:58:00,KP,12.00,w,8,JB,5,1,T,0,"Recorded as BF, but more likely JB (JH)",NULL
38,752,06:10:00,KP,13.00,e,4,JB,2,1,T,0,NULL,NULL
38,756,06:59:00,RB,22.00,n,1,DJ,1,1,F,0,NULL,NULL
38,758,07:13:00,RB,24.00,n,30,GN,3,1,IV,0,"2 males, 1 fem.  Calling to each other.  Ran away when saw observer.",NULL
38,760,07:34:00,BD,1.00,w,1,BI,1,1,F,0,NULL,NULL
38,763,09:40:00,TZ,0.00,e,15,PKX,1,1,T,0,"Flying tree to tree",NULL
38,767,10:46:00,KP,32.00,se,30,BL,3,1,T,0,NULL,NULL
38,769,10:53:00,KP,35.10,s,1,KL,1,1,T,0,"Ran away.  Only one.",NULL
38,770,10:55:00,KP,33.10,s,8,BP,1,1,T,0,"Passed by while recording data",NULL
39,773,06:12:00,NB,11.30,n,5,"MB ",1,1,TV,0,NULL,NULL
39,775,06:50:00,NB,18.00,n,10,YB,5,1,TV,0,"Gleaning insects",NULL
39,776,06:55:00,NB,18.40,n,10,OH,1,1,T,0,"Young male.  Traveling on ground, climbed tree and went N.",NULL
39,781,09:21:00,UB,66.00,s,3,BW,2,1,TV,0,"Looking for insects on fallen tree",NULL
39,786,12:03:00,UB,82.40,n,1,BP,1,1,F,0,NULL,NULL
39,787,12:05:00,UB,82.00,n,3,CKX,1,1,TV,0,"Bird -- Cabir kapan?",NULL
40,789,05:30:00,BC,0.00,w,20,BC,2,1,I,0,NULL,NULL
40,793,05:40:00,BC,0.25,n,10,GN,2,1,T,0,"1 large fem, 1 large male.",NULL
40,795,05:56:00,BC,1.25,n,25,CP,1,1,F,0,"Same tree as GN",NULL
40,797,06:12:00,BC,1.25,n,25,FK,1,1,F,0,"1 group, not 1 indiv.  Number of indiv not recorded.",NULL
40,798,06:29:00,BC,4.20,n,20,HE,2,1,I,0,NULL,NULL
40,804,09:17:00,JB,1.18,w,15,MG,1,1,I,0,NULL,NULL
40,805,09:23:00,JB,1.35,w,5,RH,1,1,I,0,NULL,NULL
40,807,09:42:00,PB,14.40,n,6,RH,2,1,I,0,NULL,NULL
40,809,10:09:00,CK,1.45,w,3,RA,1,1,I,0,NULL,NULL
41,828,06:42:00,MB,11.30,n,2,GN,5,1,F,0,"1 big male, 1 big female carrying 1 infant, 2 unk sex/size",NULL
41,833,07:59:00,TR,8.10,n,15,CP,1,1,T,0,NULL,NULL
41,836,09:22:00,SZ,20.20,w,20,PKX,2,1,TV,0,NULL,NULL
41,840,10:26:00,RS,31.00,e,20,BP,1,1,F,0,NULL,NULL
42,846,06:14:00,UB,8.20,w,10,"MB ",1,1,I,0,NULL,NULL
42,847,07:02:00,UB,19.14,e,7,CP,1,1,I,0,NULL,NULL
42,852,09:22:00,HB,4.18,w,5,GG,1,1,I,0,NULL,NULL
42,855,10:23:00,DP,10.20,n,20,BL,2,1,T,0,NULL,NULL
42,857,10:58:00,SI,25.03,e,3,KW,50,1,I,0,"little bats on rock, always here",NULL
43,862,05:42:00,BM,2.05,w,20,FK,8,1,TV,0,"Only got count, not sex/size",NULL
43,870,09:24:00,GB,3.00,e,15,PKX,2,1,TV,0,NULL,NULL
43,872,09:56:00,SP,4.25,w,30,GN,3,1,T,0,"Saw Ali and took off in diff. directions",NULL
43,878,10:46:00,RB,6.00,s,4,KAX,1,1,T,0,NULL,NULL
44,882,05:50:00,MB,3.10,e,25,KL,4,1,T,0,"Travelling n to s.  All looked adult, sex not determined.",NULL
44,885,06:26:00,RR,6.20,ne,16,KL,2,1,I,0,"Possibly part of previous group.  Ran away when saw LD.",NULL
44,890,07:55:00,AP,17.00,w,30,KL,5,1,F,0,"Difficult to identify",NULL
44,893,08:47:00,MT,5.10,n,25,BC,2,1,IV,0,NULL,NULL
44,895,09:04:00,BC,12.32,ne,20,BC,3,1,T,0,"Same group as above, but diff indiv.",NULL
44,903,11:16:00,AT,18.15,w,20,PKX,2,1,TV,0,NULL,NULL
45,910,06:10:00,TK,20.00,s,5,PS,1,1,T,0,NULL,NULL
45,913,07:10:00,MR,6.10,s,3,CN,1,1,T,0,NULL,NULL
45,920,09:55:00,GP,79.40,s,5,RA,1,1,T,0,NULL,NULL
46,935,09:58:00,FS,12.10,n,0,SQX,1,1,T,0,NULL,NULL
46,937,10:58:00,MR,11.00,w,25,PKX,1,1,TV,0,NULL,NULL
46,938,10:58:00,MR,11.00,w,50,PPK,1,1,TV,0,NULL,NULL
46,940,11:27:00,TK,17.10,w,30,KL,4,1,TV,0,"Ran away, couldn't examine for sex/size or follow",NULL
47,946,06:28:00,IF,16.15,n,6,SQX,1,1,T,0,"N to S",NULL
47,950,06:52:00,IF,20.25,n,2,KB,1,1,T,0,NULL,NULL
47,951,07:15:00,IF,25.42,s,25,BC,1,1,IV,0,NULL,NULL
47,953,07:20:00,IF,25.42,s,25,SQX,1,1,T,0,"E to W",NULL
47,954,07:22:00,IF,25.42,s,7,FP,1,1,T,0,NULL,NULL
47,955,07:55:00,IF,35.10,s,1,OH,2,1,F,0,"Female with adolescent",NULL
47,957,09:45:00,RG,1.40,w,1,PX,1,1,I,0,NULL,NULL
48,962,05:40:00,UB,26.27,s,5,PS,1,1,T,0,NULL,NULL
48,964,06:25:00,UB,37.23,e,3,PKX,1,1,T,0,NULL,NULL
48,967,06:50:00,UB,41.32,s,25,ML,1,1,IV,0,NULL,NULL
48,968,06:59:00,UB,47.15,n,10,"MB ",1,1,T,0,NULL,NULL
48,969,07:32:00,UB,52.20,e,25,KL,4,1,I,0,"2 big males, 1 big fem, 1 med fem",NULL
48,972,08:12:00,UB,58.35,s,30,HE,2,1,I,0,NULL,NULL
48,977,08:48:00,MS,26.45,w,5,PG,1,1,I,0,NULL,NULL
48,978,09:35:00,MS,18.00,w,30,BC,5,1,IV,0,NULL,NULL
48,979,10:00:00,MS,9.15,s,15,BP,1,1,T,0,NULL,NULL
48,980,10:22:00,MS,0.00,s,3,SQX,1,1,T,0,NULL,NULL
48,984,10:58:00,NB,15.18,n,50,GN,4,1,I,0,"1 large male, 1 large fem, 1 large unk sex, 1 med unk sex.  Followed, but they moved away fast",NULL
49,988,06:11:00,KP,28.30,w,5,PH,1,1,I,0,NULL,NULL
49,989,06:13:00,KP,28.25,e,2,BC,1,1,I,0,NULL,NULL
49,992,06:20:00,KP,27.19,e,0,FP,1,1,T,0,NULL,NULL
49,1002,08:41:00,KP,5.28,w,0,KAX,1,1,T,0,"crossing trail",NULL
49,1006,09:54:00,KP,1.05,e,3,EL,1,1,I,0,NULL,NULL
49,1007,10:47:00,KP,12.00,w,0,KAX,1,1,T,0,"Crossing trial to w",NULL
49,1008,10:53:00,KP,12.35,w,0,SQX,2,1,T,0,"Two squirrels chasing each other",NULL
50,1012,06:27:00,NB,11.30,e,5,CKX,6,1,TV,0,"Flying from tree to tree  (gleaning insects)",NULL
50,1013,06:58:00,NB,16.43,e,0,SQX,2,1,T,0,"Chasing each other on fallen log",NULL
50,1017,08:19:00,LM,12.00,e,10,BP,1,1,F,0,NULL,NULL
50,1018,08:26:00,LM,11.05,e,5,"MB ",1,1,IV,0,NULL,NULL
50,1019,09:03:00,LM,3.45,e,10,GN,2,1,F,0,"1 big male, 1 big female.  Full count.  Followed for but, but ran away when saw AB.",NULL
51,1026,05:38:00,RS,42.15,w,3,TR,1,1,I,0,NULL,NULL
51,1027,05:40:00,RS,42.15,e,1,SQX,1,1,T,0,"s to n",NULL
51,1029,06:07:00,RS,37.20,e,3,CP,2,1,T,0,"Chasing each other on tree",NULL
51,1032,07:38:00,MB,20.22,se,10,GN,4,1,T,0,"2 big unk sex, 1 medium fem, 1 small male",NULL
51,1035,08:18:00,SZ,14.40,e,1,KAX,1,1,I,0,"hiding under log, ran away",NULL
51,1036,08:26:00,SZ,12.33,w,10,PO,2,1,T,0,NULL,NULL
51,1041,10:15:00,MB,13.00,s,20,RH,5,1,TV,0,"Flew s to n",NULL
51,1042,10:22:00,MB,11.20,s,8,CKX,1,1,TV,0,NULL,NULL
51,1046,10:59:00,SK,2.30,n,12,PKX,1,1,TV,0,NULL,NULL
52,1049,05:40:00,TZ,7.00,n,15,GN,4,1,T,0,"1 large male, 2 large unk sex, 1 med unk sex",NULL
52,1056,08:09:00,IF,35.00,n,15,OH,2,1,I,0,"1 male, 1 female",NULL
52,1057,10:01:00,IF,19.11,n,10,GN,4,1,T,0,"1 big male, 1 big unk sex, 1 med unk sex, 1 adolescent following big unk sex.",NULL
53,1065,06:33:00,JB,11.05,w,5,PS,1,1,T,0,"Saw AB and jumped away tree to tree",NULL
53,1068,08:40:00,TL,30.25,n,0,OH,1,1,T,0,"Large male (belimbing).  Not habituated, traveled NW.",NULL
53,1070,09:38:00,GP,44.08,n,0,PS,2,1,T,0,"Climbing on log",NULL
53,1072,09:59:00,GP,40.05,n,0,BP,1,1,T,0,"Ran west",NULL
54,1075,05:38:00,AP,7.10,n,10,AHX,2,1,T,0,"Crossed trail w to e",NULL
54,1094,09:53:00,BC,11.10,n,5,KL,3,1,I,0,"1 large male, 2 large females.  ",NULL
54,1097,10:25:00,TB,7.33,s,20,PKX,1,1,TV,0,NULL,NULL
55,1101,05:52:00,TK,17.00,s,8,BB,1,1,TV,0,"Yellow-breasted bulbul",NULL
55,1117,10:18:00,GP,90.05,n,10,EL,1,1,T,0,NULL,NULL
55,1118,10:55:00,GP,97.47,n,0,BP,1,1,FT,0,NULL,NULL
56,1130,06:30:00,TR,4.45,s,4,BB,1,1,I,0,NULL,NULL
56,1135,07:07:00,GB,0.20,e,10,"MB ",1,1,I,0,NULL,NULL
56,1136,07:10:00,GB,4.22,w,5,PB,1,1,I,0,NULL,NULL
56,1141,08:26:00,GB,11.20,e,15,FK,12,1,I,0,"Not sure of count, moving a lot and still sprinkling.",NULL
56,1144,08:59:00,DS,6.15,e,10,RH,1,1,T,0,NULL,NULL
57,1151,06:51:00,SI,17.20,w,5,BP,1,1,F,0,NULL,NULL
57,1154,07:09:00,SI,20.30,e,0,GN,1,1,T,0,"One animal traveling e to w, other GN begin calling in area",NULL
57,1155,07:11:00,SI,20.40,w,18,PS,1,1,T,0,NULL,NULL
57,1156,07:14:00,SI,21.00,w,0,CP,1,1,T,0,NULL,NULL
57,1157,07:31:00,SI,24.48,e,5,KW,50,1,I,0,"Bats on a rock!",NULL
57,1160,08:00:00,DP,7.02,s,2,SQX,1,1,F,0,"Not absolutely positive this is SQ.  Very dense foliage, just got a glimpse.",NULL
57,1164,08:23:00,DP,10.10,w,20,KL,1,1,T,0,"1 large unk sex.  Saw me and took off west.  No others seen.",NULL
57,1171,10:53:00,UB,11.00,n,20,GB,2,1,T,0,NULL,NULL
58,1176,05:42:00,KP,13.00,w,4,KAX,1,1,T,0,NULL,NULL
58,1194,10:56:00,KP,36.07,w,0,GN,3,1,T,0,"Full count.  Ran away before could be id'd.",NULL
59,1197,05:48:00,TK,18.20,se,7,"MB ",1,1,TV,0,NULL,NULL
59,1199,06:10:00,MR,12.40,n,2,BH,7,1,TV,0,NULL,NULL
59,1201,06:55:00,FS,11.00,w,8,CKX,2,1,TV,0,NULL,NULL
59,1202,07:25:00,FS,17.10,n,12,"MB ",1,1,TV,0,NULL,NULL
60,1213,06:07:00,NB,11.10,n,0,KL,2,1,T,0,"Saw them in tree, but ran S immediately upon MA approach",NULL
61,1228,06:24:00,AB,8.15,e,7,LBJ,2,1,IV,0,"brown, yellow and white birds",NULL
61,1233,10:40:00,GP,105.20,n,0,PS,1,1,T,0,NULL,NULL
61,1235,11:18:00,PK,2.45,e,6,BW,1,1,I,0,NULL,NULL
62,1243,08:38:00,MF,15.20,s,1,KW,1,1,T,0,NULL,NULL
63,1256,05:37:00,GP,20.45,w,2,GN,3,1,T,0,"1 large unk sex, 2 med unk sex. `Travelled e.",NULL
63,1269,10:35:00,JB,8.30,e,0,RH,2,1,TV,0,NULL,NULL
64,1275,06:02:00,KC,3.25,n,25,KL,4,1,I,0,"1 big male, 1 big fem, 1 big unk sex, 1 med unk sex.",NULL
64,1279,06:40:00,NB,7.20,n,10,PKX,1,1,I,0,NULL,NULL
64,1281,07:23:00,MS,2.15,e,5,PG,1,1,I,0,NULL,NULL
64,1285,10:22:00,UB,41.32,s,3,SQX,1,1,T,0,NULL,NULL
64,1286,10:32:00,UB,36.20,n,5,"MB ",1,1,I,0,NULL,NULL
65,1295,08:25:00,KI,0.35,w,5,MR,1,1,IV,0,NULL,NULL
66,1303,05:43:00,PK,2.30,se,15,BB,1,1,TV,0,NULL,NULL
66,1306,07:18:00,PA,0.20,ne,2,BP,1,1,FT,0,NULL,NULL
66,1308,07:50:00,PA,8.40,w,1,CP,1,1,T,0,NULL,NULL
66,1312,09:21:00,PA,24.30,n,20,GM,2,1,TV,0,"Bornean bristlehead",NULL
66,1313,09:25:00,PA,24.40,n,5,HB,5,1,T,0,"black body, head/wings white (maybe WC)",NULL
67,1323,05:56:00,DT,9.20,w,30,BP,1,1,FT,0,NULL,NULL
