"","partition","richness","effort","rich_std","shannon","evenness"
"1","UG.II",9,1833850,4.90770782779399e-06,1.31768323669868,0.599703485155877
"2","UG.I",10,1179501,8.47816152762906e-06,1.70324304870964,0.73970905739467
"3","PS.I",14,2068850,6.76704449331754e-06,2.01016573302439,0.761698395281715
"4","MO",10,1396802,7.15921082587224e-06,1.85314653201859,0.804811313013822
"5","LS.II",11,536401,2.05070460345898e-05,1.52468582149155,0.635843374307263
"6","LS.I",13,987250,1.31678906052165e-05,1.73287239035094,0.675597116687682
"7","LG.II",9,1058700,8.50099178237461e-06,1.30742145268429,0.595033145983344
"8","LG.I",10,956400,1.04558762024258e-05,1.39681662879348,0.606629754115709
"9","FS.I",13,1531216.66666667,8.48998073427449e-06,1.69452619227748,0.66064703669413
"10","AB.II",10,933301,1.07146569006141e-05,1.37801917178718,0.59846612226406
"11","AB.I",14,608400,2.30111768573307e-05,1.75368805817546,0.664513058695518
