"locationID","location","altitude","on.off.trail","max.height","median.r","sd.r","CRR.rho","perc.below.2m","stand.dens","basal.area","stem.vol","mean.tree.h","mean.dbh","dom.h","dom.dbh","latitude","longitude","habitat","partition","n.pts","pts.below.2m","zentropy","lad.max","rumple","vn","vFRcanopy","vzrumple","ClosedGapSpace"
194,"BC 12.40",99,"ON",54.4027602954574,8.69394652195995,4.48174272684073,0.325739039853488,46.0703856284139,213.904243515507,9.54659228250851,113.469785254516,30.3022142857143,21.1418624669286,35.3067516704421,30.216689878406,-1.21856,110.1099,"Lowland Sandstone","LS1",26822201,12357091.4347283,0.521691948321556,0.71689486604102,45.1117190769797,33463,33.0198733003098,3.92101174744918,27.51033476534
162,"BD 7.45",44,"ON",48.3368662836705,9.67775698868533,5.03454022605768,0.360589766520844,38.0574202404565,50.9295817894065,1.85456858673195,10.2052145417261,31.0297,20.3749958750156,31.0297,20.3749958750156,-1.20966,110.09449,"Peat Swamp","PS1",12904385,4911076.02889643,0.577481306435408,0.869799826406914,32.8383217596517,18445,29.8424152213306,3.64777063317603,18.8346436172523
328,"BD 7.45 W 50",43,"OFF",45.4605764194849,5.38285277010481,2.65733977563847,0.186858960574269,49.8390125465084,50.9295817894065,1.61626217228029,12.6128137403791,18.8593,17.9905140045544,18.8593,17.9905140045544,-1.20976,110.09406,"Peat Swamp","PS1",9921363,4944709.35035464,0.512634794330993,0.702540152268534,16.6843747382105,12308,33.3649597440972,3.46986519493597,13.0638818027211
175,"BK 4.35",71,"ON",54.2023357412298,13.1681265323489,5.66559254273411,0.494106743833483,42.9402451053923,162.974661726101,3.85528298158477,41.3525216185907,23.3444375,16.0092569258463,24.0596630950232,20.0969741762257,-1.22942,110.10719,"Lowland Sandstone","LS2",30145647,12944614.7104063,0.552681733474445,0.747729979952709,22.9324187954472,46118,31.1858859488372,3.84519209705775,15.3041336184727
325,"BK 4.35 N 45",69,"OFF",54.4025124136655,10.6474249810775,4.95788883755407,0.396572681573895,44.0400294488372,76.3943726841098,3.76914326932219,18.4878146349586,25.27,20.280848415913,25.27,20.280848415913,-1.22909,110.10727,"Lowland Sandstone","LS2",25617815,11282093.2701486,0.534380701177831,0.733003109646839,18.1365105936722,30688,26.4656674198389,3.8405833123628,12.9741326841144
9,"BM 14.35",53,"ON",47.7568229545907,9.86142870655287,4.15125138619396,0.37935068433013,39.9638643627906,300.484532557498,7.29228773357186,36.6606123185309,17.8377288135593,15.3049031615424,19.7035782085873,24.3976086934191,-1.20752,110.10863,"Alluvial Bench","AB1",28339795,11325677.2344929,0.524448687182447,0.968176511098128,17.3597197682841,28473,54.2590898696547,3.79923178175241,5.98116169544741
193,"CK 4.42",54,"ON",42.5617917723764,9.98381804812794,4.92588989175375,0.374507496113115,45.9991395862487,249.554950768092,10.4607590174064,95.9083405213941,20.9058163265306,19.5060780177143,22.0134709276987,30.7816194894118,-1.21281,110.10916,"Lowland Sandstone","LS1",22977252,10569338.2205641,0.539347248463928,0.706574844663271,11.383830980305,31859,35.291055109388,3.84827261280614,5.98527656391682
174,"DA 12.40",63,"ON",54.3253871529072,19.8107807229561,4.91585872127619,0.723813441181524,35.1137304887675,142.602829010338,6.89016088595077,127.716003824215,22.4748214285714,17.5435861254286,24.0782092195868,21.9367313568773,-1.22856,110.10848,"Lowland Sandstone","LS2",18083606,6349828.67349059,0.555301958751783,0.885451972861614,15.1284154272622,32569,32.3776480997306,3.85024840272828,7.42298416578456
314,"DA 12.40 E 46",80,"OFF",54.8725177904067,20.2853081366169,3.07449643211845,0.787502079372878,47.4167427943792,66.2084563262285,1.97504190816832,19.3633053561192,21.2695384615385,18.4875313566923,21.2695384615385,18.4875313566923,-1.228513,110.108879,"Lowland Sandstone","LS2",18624887,8831314.76453377,0.507578189210417,0.7248999861754,12.2407112196414,25632,20.681809012789,3.30037486976381,8.22158287821891
164,"DP 8.00",193,"ON",53.0671670829443,9.08717490342433,2.94809653878193,0.319378239759444,41.6532662184886,101.859163578813,3.84277225862698,30.9980374014191,14.6462,19.05364512605,14.5291694742593,19.5458839143012,-1.23304,110.10912,"Lowland Sandstone","LS2",11309952,4710964.41574328,0.506880735526349,0.933444657608884,8.15213528988472,13341,30.7992427740327,3.58069579392984,5.08505917159763
11,"DS 12",45,"ON",50.215267828823,14.3064362037939,4.8350634883642,0.489806686951794,37.6480994809802,193.532410799745,17.336077779745,168.91150921226,17.4757631578947,22.5544275541053,20.6552950397337,33.7578531265631,-1.20697,110.10837,"Alluvial Bench","AB1",13062572,4917810.10133466,0.538911602927067,0.951574939078717,16.5626153689255,24677,41.8594788980866,3.55587124445763,7.30232587867593
161,"GB 8.30",33,"ON",45.8911098880823,18.1985570600323,4.29934043350842,0.695456389261451,54.9299454478171,122.230996294576,4.70448799487752,44.7732262676618,17.228875,19.5318596862083,17.0962778802168,22.047837716059,-1.21013,110.10319,"Freshwater Swamp","FS1",33954750,18651325.6519427,0.454193719193121,0.438181746119771,10.5327846806525,16161,40.0500594766059,3.51108610420835,4.53218675059952
222,"GP 24.31",186,"ON",45.8020988228992,8.55955336103029,3.50059169051459,0.31831457359173,41.0849733236988,229.183118052329,10.3491965548416,113.623227716718,20.62,19.6602368421111,24.5748748938359,31.5530147450741,-1.218151,110.114208,"Lowland Granite","LG1",14516768,5964210.26026324,0.56765849315335,0.674731730664183,13.2140762689084,25344,38.5782784077936,3.61615781467077,5.60360510491744
